Date,Issuer,Symbol,Lead/Joint-Lead  Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed
3/30/2011,Apollo Global Management ,APO,"Goldman, Sachs/ J.P. Morgan/ BofA Merrill Lynch/ Citi/ Credit Suisse/ Deutsche Bank Securities/ UBS Investment Bank",$19.00 ,$18.70 ,$18.20 ,-4.21%,($0.30),($0.80),1,
3/30/2011,Qihoo 360 Technology ,QIHU,UBS Investment Bank/ Citi,$14.50 ,$27.00 ,$34.00 ,134.48%,$12.50 ,$19.50 ,3,
4/1/2011,GNC Holdings ,GNC,"Goldman, Sachs & Co. / J.P. Morgan",$16.00 ,$16.60 ,$16.75 ,4.69%,$0.60 ,$0.75 ,2,
4/1/2011,Preferred Apartment Communities ,APTS,Wunderlich Securities,$10.00 ,$10.00 ,$9.85 ,-1.50%,$0.00 ,($0.15),1,
4/4/2011,Tranzyme   ,TZYM,Citi,$4.00 ,$4.00 ,$4.00 ,0.00%,$0.00 ,$0.00 ,1,
4/7/2011,SandRidge Mississippian Trust I  ,SDT, Raymond James/ Morgan Stanley ,$21.00 ,$21.75 ,$24.21 ,15.29%,$0.75 ,$3.21 ,2,
4/8/2011,"CVR Partners, LP ",UAN,"Morgan Stanley/ Barclays Capital/ Goldman, Sachs & Co.",$16.00 ,$18.00 ,$17.55 ,9.69%,$2.00 ,$1.55 ,3,
4/8/2011,Golar LNG Partners LP ,GMLP,Citi/ BofA Merrill Lynch/ Morgan Stanley,$22.50 ,$24.50 ,$24.85 ,10.44%,$2.00 ,$2.35 ,1,Missed
4/8/2011,PennantPark Floating Rate Capital Ltd. ,PFLT,Morgan Stanley/ SunTrust Robinson Humphrey/ UBS Investment Bank,$15.00 ,$14.11 ,$13.40 ,-10.67%,($0.89),($1.60),1,
4/13/2011,SCG Financial Acquisition ,SCGQU,Lazard Capital Markets/ Ladenburg Thalmann,$10.00 ,$10.00 ,$10.00 ,0.00%,$0.00 ,$0.00 ,1,
4/14/2011,Arcos Dorados Holdings ,ARCO,BofA Merrill Lynch/ J.P. Morgan/ Morgan Stanley/ Itau BBA/ Citi,$17.00 ,$21.00 ,$21.20 ,24.71%,$4.00 ,$4.20 ,3,
4/14/2011,Box Ships ,TEU,UBS Investment Bank/ Morgan Stanley,$12.00 ,$12.00 ,$11.00 ,-8.33%,$0.00 ,($1.00),1,
4/14/2011,TMS International ,TMS,BofA Merrill Lynch/Credit Suisse/J.P. Morgan,$13.00 ,$12.40 ,$12.58 ,-3.23%,($0.60),($0.42),1,
4/14/2011,Zipcar ,ZIP,Goldman Sachs/J.P. Morgan,$18.00 ,$29.00 ,$28.00 ,55.56%,$11.00 ,$10.00 ,3,
4/15/2011,Ellie Mae ,ELLI,Barclays Capital,$6.00 ,$6.00 ,$6.77 ,12.83%,$0.00 ,$0.77 ,1,
4/15/2011,Sequans Communications S.A. ,SQNS,UBS Investment Bank/ Jefferies,$10.00 ,$9.00 ,$8.25 ,-17.50%,($1.00),($1.75),2,Missed
4/15/2011,STAG Industrial ,STIR,BofA Merrill Lynch/ J.P. Morgan/ UBS Investment Bank,$13.00 ,$12.00 ,$12.50 ,-3.85%,($1.00),($0.50),1,
4/18/2011,Global Cornerstone Holdings  ,GCRSF,Citi/ Deutsche Bank Securities,$10.00 ,$10.00 ,$9.95 ,-0.50%,$0.00 ,($0.05),1,
4/18/2011,Air Lease ,AL, J.P. Morgan/ Credit Suisse/ Barclays Capital/ FBR Capital Markets/ RBC Capital Markets/ Wells Fargo Securities ,$26.50 ,$27.25 ,$27.95 ,5.47%,$0.75 ,$1.45 ,1,
4/20/2011,Sagent Pharmaceuticals ,SGNT,Morgan Stanley/ BofA Merrill Lynch/ Jefferies & Company,$16.00 ,$18.25 ,$19.90 ,24.38%,$2.25 ,$3.90 ,1,
4/20/2011,Tesoro Logistics LP ,TLLP,Citi/ Wells Fargo Securities/ BofA Merrill Lynch/ Credit Suisse,$21.00 ,$23.25 ,$23.50 ,11.90%,$2.25 ,$2.50 ,1,
4/21/2011,21Vianet Group  ,VNET,Morgan Stanley/ Barclays Capital/ J.P. Morgan Securities,$15.00 ,$20.26 ,$18.80 ,25.33%,$5.26 ,$3.80 ,3,
4/21/2011,Responsys ,MKTG,Morgan Stanley/ Credit Suisse,$12.00 ,$16.00 ,$15.40 ,28.33%,$4.00 ,$3.40 ,2,
5/4/2011,Boingo Wireless ,WIFI,Credit Suisse/ Deutsche Bank Securities,$13.50 ,$12.50 ,$12.10 ,-10.37%,($1.00),($1.40),3,Missed
5/4/2011,Renren ,RENN,Morgan Stanley/ Deutsche Bank Securities/ Credit Suisse,$14.00 ,$19.50 ,$18.01 ,28.64%,$5.50 ,$4.01 ,3,
5/4/2011,RPX Corporation ,RPXC,"Goldman, Sachs/ Barclays Capital",$19.00 ,$24.10 ,$23.88 ,25.68%,$5.10 ,$4.88 ,3,
